"wildtype" "transgenic"
"1" 1 1
"2" 1 1
"3" 2 1
"4" 3 1
"5" 4 1
"6" 5 1
"7" 5 2
"8" 6 2
"9" 7 3
"10" 9 3
"11" 9 3
"12" 9 4
"13" 9 4
"14" 10 4
"15" 10 4
"16" 11 5
"17" 11 5
"18" 11 5
"19" 11 5
"20" 11 6
"21" 11 7
"22" 11 8
"23" 11 8
"24" 14 9
"25" 15 9
"26" 15 10
"27" 16 10
"28" 16 10
"29" 16 11
"30" 16 11
"31" 16 11
"32" 16 11
"33" 16 11
"34" 16 11
"35" 16 11
"36" 16 11
"37" 16 12
"38" 16 12
"39" 16 12
"40" 16 13
"41" 16 15
"42" 17 15
"43" 17 15
"44" 18 16
"45" 18 16
"46" 18 16
"47" 18 16
"48" 18 16
"49" 18 16
"50" 18 16
"51" 18 16
"52" 19 16
"53" 19 16
"54" 19 16
"55" 19 16
"56" 19 16
"57" 19 16
"58" 19 16
"59" 19 16
"60" 20 16
"61" 21 16
"62" 21 17
"63" 21 17
"64" 22 17
"65" 22 17
"66" 24 17
"67" 24 19
"68" 25 20
"69" 31 20
"70" 32 21
"71" 33 21
"72" 34 22
"73" 34 22
"74" 36 22
"75" 38 22
"76" 38 24
"77" 39 24
"78" 39 24
"79" 42 24
"80" 46 25
"81" 46 25
"82" 47 25
"83" 48 26
"84" 50 28
"85" 50 28
"86" 51 29
"87" 51 31
"88" 52 31
"89" NA 31
"90" NA 33
"91" NA 34
"92" NA 36
"93" NA 36
"94" NA 38
"95" NA 39
"96" NA 39
"97" NA 40
"98" NA 42
"99" NA 50
